time/s	Ewe/V	<I>/mA	cycle number
2.179453944942361E+003	-6.7668182E-001	-5.868034533863717E-001	2.000000000000000E+000
2.179520544940679E+003	-6.7628849E-001	-5.862732648489342E-001	2.000000000000000E+000
2.179587144938996E+003	-6.7586857E-001	-5.861614911938002E-001	2.000000000000000E+000
2.179653944937309E+003	-6.7543709E-001	-5.856512937560137E-001	2.000000000000000E+000
2.179720544935626E+003	-6.7500955E-001	-5.851991860888157E-001	2.000000000000000E+000
2.179787144933944E+003	-6.7469651E-001	-5.847776551981347E-001	2.000000000000000E+000
2.179853944932256E+003	-6.7435288E-001	-5.846412214170018E-001	2.000000000000000E+000
2.179920544930574E+003	-6.7411238E-001	-5.847099239732572E-001	2.000000000000000E+000
2.179987144928891E+003	-6.7370009E-001	-5.842881274727536E-001	2.000000000000000E+000
2.180053944927204E+003	-6.7337555E-001	-5.836904117141861E-001	2.000000000000000E+000
2.180120544925521E+003	-6.7303962E-001	-5.833518449273356E-001	2.000000000000000E+000
2.180187144923839E+003	-6.7261964E-001	-5.827519801808272E-001	2.000000000000000E+000
2.180253944922151E+003	-6.7230654E-001	-5.822180141526534E-001	2.000000000000000E+000
2.180320544920469E+003	-6.7212713E-001	-5.817143389465587E-001	2.000000000000000E+000
2.180387144918786E+003	-6.7185223E-001	-5.812629956493209E-001	2.000000000000000E+000
2.180453944917099E+003	-6.7164612E-001	-5.810062723705585E-001	2.000000000000000E+000
2.180520544915416E+003	-6.7130631E-001	-5.807678519418964E-001	2.000000000000000E+000
2.180587144913734E+003	-6.7086345E-001	-5.804627145165053E-001	2.000000000000000E+000
